COMUNE,PRO_COM_T,Abitanti,COD_PROV,CC_UTS,den_uts,sigla
Torresina,"004229","46","4","0",Cuneo,CN
Treiso,"004230","773","4","0",Cuneo,CN
Trezzo Tinella,"004231","312","4","0",Cuneo,CN
Trinità,"004232","2235","4","0",Cuneo,CN
Valdieri,"004233","908","4","0",Cuneo,CN
Valgrana,"004234","774","4","0",Cuneo,CN
Valloriate,"004235","104","4","0",Cuneo,CN
Venasca,"004237","1384","4","0",Cuneo,CN
Verduno,"004238","528","4","0",Cuneo,CN
Vernante,"004239","1155","4","0",Cuneo,CN
Vezza d'Alba,"004241","2313","4","0",Cuneo,CN
Vicoforte,"004242","3162","4","0",Cuneo,CN
Vignolo,"004243","2605","4","0",Cuneo,CN
Villafalletto,"004244","2936","4","0",Cuneo,CN
Villanova Solaro,"004246","745","4","0",Cuneo,CN
Villar San Costanzo,"004247","1537","4","0",Cuneo,CN
Vinadio,"004248","607","4","0",Cuneo,CN
Viola,"004249","364","4","0",Cuneo,CN
Vottignasco,"004250","501","4","0",Cuneo,CN
Agliano Terme,"005001","1578","5","0",Asti,AT
Albugnano,"005002","500","5","0",Asti,AT
Antignano,"005003","962","5","0",Asti,AT
Aramengo,"005004","567","5","0",Asti,AT
Serole,"005104","113","5","0",Asti,AT
Sessame,"005105","251","5","0",Asti,AT
Settime,"005106","530","5","0",Asti,AT
Soglio,"005107","152","5","0",Asti,AT
Tigliole,"005108","1713","5","0",Asti,AT
Tonco,"005109","796","5","0",Asti,AT
Tonengo,"005110","246","5","0",Asti,AT
Vaglio Serra,"005111","281","5","0",Asti,AT
Valfenera,"005112","2418","5","0",Asti,AT
Vesime,"005113","609","5","0",Asti,AT
Viale,"005114","241","5","0",Asti,AT
Viarigi,"005115","861","5","0",Asti,AT
Vigliano d'Asti,"005116","821","5","0",Asti,AT
Villafranca d'Asti,"005117","2985","5","0",Asti,AT
Villa San Secondo,"005119","387","5","0",Asti,AT
Vinchio,"005120","567","5","0",Asti,AT
Montiglio Monferrato,"005121","1585","5","0",Asti,AT
Albera Ligure,"006002","293","6","0",Alessandria,AL
Alfiano Natta,"006004","742","6","0",Alessandria,AL
Alice Bel Colle,"006005","732","6","0",Alessandria,AL
